Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	
MOV10	0.14376	1.17578	1.45175e-005	1.84156			
MOV10L1	0.405775	-1.05545	0.726093	-1.0251			
MPHOSPH10	0.018029	1.42038	0.740362	-1.05273			
MPLKIP	1.79631e-006	1.6867	0.114176	1.17079			
MPP1	3.97213e-006	1.58302	5.27848e-005	-1.52376			
MPP6	0.162788	1.79535	0.130076	-2.00835			
MPZL3	0.381042	-1.14218	0.992512	1.00155			
MR1	0.568493	1.1457	0.137355	1.48358			
MRE11A	0.00121682	1.57968	5.95562e-007	2.4205			
MRFAP1	0.0527425	-1.33243	0.0084114	-1.55231			
MRFAP1L1	0.461125	-1.14601	0.0290107	-1.58185			
MRGPRX1	0.941373	1.01313	0.0489245	1.48524			
MRPL1	0.387742	1.11002	0.000154653	-1.7584			
MRPL13	0.00107374	1.55286	0.410558	-1.11758			
MRPL15	1.57715e-006	2.04865	7.58554e-006	-2.03797			
MRPL16	0.143102	1.12441	0.00232436	-1.3288			
MRPL17	0.035616	1.17261	0.299853	1.08723			
MRPL18	0.117161	1.20887	0.551216	-1.08073			
MRPL21	0.18572	1.08075	0.00345291	1.2207			
MRPL22	0.0546036	1.15014	0.0539262	-1.16613			
MRPL32	1.12222e-006	2.0467	0.738256	1.0445			
MRPL33	0.427531	1.10133	0.0178897	-1.39003			
MRPL34	6.93423e-005	1.54808	0.41644	-1.08928			
MRPL37	5.51795e-006	1.46812	0.0440433	1.17406			
MRPL39	0.0196886	1.32149	0.135519	-1.20937			
MRPL40	0.698505	1.04248	0.00265658	-1.46499			
MRPL42	0.00741846	1.57462	0.0180244	-1.54237			
MRPL46	0.899027	-1.01065	1.16468e-005	-1.60947			
MRPL47	0.639162	1.0732	0.000628009	-1.86593			
MRPL48	3.21553e-005	1.28449	3.50735e-005	-1.31328			
MRPL49	0.271709	-1.14109	0.232208	1.17052			
MRPS10	0.359017	1.14416	0.0907881	-1.31883			
MRPS15	3.99031e-010	1.79671	0.418834	-1.05957			
MRPS16	0.429361	1.10429	0.0879315	1.27033			
MRPS17	0.00891928	1.57245	0.659391	-1.08212			
MRPS18B	0.138803	1.11483	0.0511321	-1.17244			
MRPS18C	0.0975985	1.27331	0.0202106	-1.46177			
MRPS23	0.0375558	1.29476	6.69292e-005	-1.82487			
MRPS30	0.381399	1.22614	0.000258336	-2.83255			
MRPS33	9.71477e-008	1.45084	0.816931	1.01376			
MRPS36	0.161252	1.14773	2.74924e-006	-1.83134			
MRPS6	0.351323	1.24666	0.879935	1.03963			
MRRF	0.0140201	1.47735	0.0537968	1.38943			
MRRFP1	0.139062	1.11702	9.33984e-005	1.43263			
MRS2	0.00202679	1.43682	0.0276988	-1.31233			
MRS2P2	0.114345	1.21655	0.276624	1.15755			
MS4A15	0.794769	1.01929	0.113786	1.13875			
MSANTD2	0.247755	1.15128	3.45052e-006	2.10268			
MSANTD3	0.661972	-1.04627	0.84761	-1.02199			
MSANTD4	0.112562	-1.40589	0.03096	1.67675			
MSH3	0.633058	1.07509	0.36149	-1.1646			
MSH4	0.996809	-1.00079	0.218575	-1.31145			
MSH6	3.06016e-010	1.71306	2.43699e-009	1.70953			
MSMO1	0.125207	-1.37134	3.98016e-010	-7.34825			
MSMP	0.881374	-1.1056	0.715096	1.30896			
MSN	0.0952137	1.31412	0.000439249	1.98555			
MSTN	0.660569	-1.12202	6.33444e-011	16.5118			
MSTO1	0.000585403	1.28955	3.8726e-009	1.80992			
MSX1	0.0280432	1.22262	0.779147	1.02736			
MT1A	0.860074	-1.0425	0.0485288	-1.69451			
MT1CP	0.987472	1.00509	0.605302	-1.20137			
MT1DP	0.941374	-1.01109	0.139366	-1.2808			
MT1E	0.284084	1.28627	0.0657272	-1.62083			
MT1H	0.691587	1.09748	0.00308085	-2.26807			
MT1JP	0.450787	1.26412	0.0446242	-2.02242			
MT1L	0.659822	1.09663	0.0283101	-1.68837			
MT1M	0.263965	1.48253	0.0330386	-2.33193			
MT1X	0.242279	1.38746	0.628996	-1.15812			
MT2A	0.319227	-1.31585	0.978461	-1.00811			
MTA2	0.80408	1.02351	0.0043954	1.36806			
MTBP	0.00295056	1.85741	5.80447e-005	2.6648			
MTCH2	0.420002	1.11215	0.200424	1.20495			
MTCP1NB	0.016944	1.25677	0.000418683	1.48098			
MTDH	0.118473	1.30524	0.108027	-1.35089			
MTERF	0.000161393	1.52131	0.0590914	1.23267			
MTERFD1	0.000337398	1.88165	0.190969	1.2574			
MTF1	0.644431	1.07117	0.496638	1.11759			
MTF2	0.996505	1.0006	0.240529	1.19583			
MTFMT	0.00441574	1.31016	0.000839997	-1.42855			
MTHFD1	0.0378439	1.63479	0.389082	-1.24184			
MTHFD2	1.69142e-008	5.00806	0.0923393	1.49585			
MTM1	0.5526	1.11489	0.16791	-1.32352			
MTMR1	0.054285	1.1905	0.746675	1.03158			
MTMR12	0.400602	1.16123	0.0111155	-1.68154			
MTMR2	0.847463	-1.02026	0.426329	1.09562			
MTO1	0.0729798	1.25962	0.161969	-1.21543			
MTRF1L	0.0167496	1.39046	0.669863	1.06329			
MTRNR2L1	0.445667	1.1332	0.283389	1.21362			
MTRNR2L2	0.32025	1.17608	0.064017	1.4022			
MTRNR2L3	0.0565923	1.28253	0.61612	-1.07213			
MTRR	0.0112856	1.45889	0.946142	-1.01049			
MTSS1	0.701841	-1.08997	0.0164052	1.86035			
MTX2	2.78168e-009	1.95184	8.52554e-010	-2.16835			
MTX3	0.206302	1.29217	0.176115	-1.35143			
MVP	0.865949	-1.02876	0.450461	1.14966			
MX1	0.868242	-1.09614	0.828063	1.14073			
MX2	0.998372	-1.00048	0.0653894	1.6381			
MYADM	0.000325692	-1.94186	0.78508	-1.05053			
MYADML2	0.878731	1.01884	0.452003	1.10654			
MYBL1	0.150673	1.41475	0.0127183	1.97969			
MYBL2	0.639107	1.07845	1.33229e-006	2.85952			
MYBPC1	0.977483	-1.00676	0.00515625	-2.1864			
MYCBP	1.57395e-006	1.52748	0.799581	-1.02016			
MYCN	2.24192e-007	10.0982	0.62815	1.20458			
MYD88	0.558982	-1.07677	0.0120398	1.44267			
MYH15	0.994551	-1.00211	0.913014	-1.03758			
MYH2	0.387178	-1.06722	0.737965	1.0278			
MYH7	0.765977	1.0375	0.505363	1.09474			
MYNN	0.411854	1.11111	0.335013	-1.14555			
MYO10	0.0736662	1.70364	0.954515	1.01828			
MYO16-AS2	0.308291	-1.11784	0.481279	1.08759			
MYO19	3.07512e-007	1.71687	1.67428e-006	1.71068			
MYO1C	0.342163	1.13261	0.0243762	1.398			
MYO1E	9.21685e-005	-6.78734	0.274548	-1.6779			
MYO3B	8.00704e-006	-2.85502	0.361491	1.21898			
MYO9A	0.373309	1.14374	0.000159854	-2.01845			
MYOCD	0.379896	-1.03489	0.0142592	-1.11591			
MYOD1	0.874143	-1.01741	0.771205	1.03535			
MYOF	0.140869	-1.84418	0.0280013	2.78316			
MYSM1	0.00511716	1.58617	0.395931	1.15499			
MZT1	0.000892543	1.53597	4.56947e-009	-2.81602			
N4BP1	0.880759	-1.03007	0.00256379	-2.02535			
N4BP2L1	0.00192742	1.37265	1.23293e-005	-1.70467			
NAA15	0.00442296	1.47899	0.122748	1.24755			
NAA20	6.00024e-008	1.42331	0.000102795	-1.27386			
NAA30	0.904727	1.01308	2.11411e-006	-1.99434			
NAA38	1.37658e-007	1.50596	5.41673e-013	2.19902			
NAA40	0.721101	1.02378	1.68492e-008	1.72385			
NAA50	0.000819717	1.4165	0.175229	-1.153			
NAAA	6.2205e-008	2.31009	0.271451	-1.15499			
NAALADL2	0.00020322	-1.74648	0.0187727	1.43181			
NAALADL2-AS2	0.646795	-1.02823	0.786643	-1.01815			
NABP1	0.00221735	2.20549	0.0392182	1.74778			
NACC1	0.641192	1.03896	0.538526	-1.05689			
NAF1	1.46669e-006	1.59114	0.845478	1.01686			
NAGA	0.138596	-1.22135	0.517247	-1.09894			
NAGPA	0.970613	-1.00344	0.0914926	-1.19318			
NAMPT	6.58375e-015	4.05482	2.21951e-009	2.46793			
NAMPTL	1.60194e-012	3.47549	3.78972e-007	2.15456			
NANOG	0.871068	-1.01955	0.00142638	1.57645			
NANOS3	0.177372	-1.1203	0.875726	1.01431			
NANP	0.000145586	1.46684	0.405686	-1.08481			
NANS	1.01722e-006	1.55167	0.848676	-1.01527			
NAPA	0.434233	-1.10146	0.00140948	-1.59968			
NAPB	0.15658	1.32841	1.54287e-014	-19.2335			
NAPEPLD	0.0146257	1.42342	7.33352e-008	-2.8728			
NARG2	0.307397	1.18962	0.919923	1.01874			
NASP	0.00423595	1.37896	1.28531e-013	4.2481			
NAT10	9.11175e-006	1.53265	0.000484131	1.40957			
NAT2	0.97543	-1.00348	0.788726	1.03373			
NBAS	2.06915e-006	11.8384	0.516058	-1.35482			
NBEAL1	0.345947	1.18932	0.216229	1.28475			
NBN	0.157054	1.25893	0.35246	-1.17839			
NBPF1	0.0693441	1.18834	7.97281e-012	2.94607			
NBPF10	0.268011	1.11084	7.90912e-008	2.05141			
NBPF16	0.0175732	1.23282	2.92242e-013	3.07536			
NBPF24	0.0203543	1.22967	4.00186e-013	3.07797			
NBPF8	4.97585e-005	1.38693	9.40156e-014	2.65178			
NBPF9	0.00785509	1.29814	3.9178e-012	3.04202			
NCAPD2	0.0567196	1.29925	2.66045e-007	2.59772			
NCAPG	0.589995	1.13617	1.30671e-012	19.6342			
NCAPG2	0.000177072	1.83978	1.69219e-010	4.37032			
NCAPH	0.877314	1.03272	2.8358e-008	5.37585			
NCAPH2	0.00723616	-1.14253	0.317971	-1.05278			
NCBP1	1.6178e-005	1.37531	0.000976528	1.28242			
NCBP2-AS1	0.966636	-1.00271	0.0138992	1.20147			
NCEH1	0.80925	-1.05311	6.15436e-009	-6.44842			
NCK1	0.0182542	1.29046	0.0340125	1.28215			
NCOA1	0.000205871	-2.73058	0.147912	-1.4725			
NCOA3	0.401223	-1.19382	0.906653	-1.02732			
NCOA7	0.00877942	1.50028	1.34273e-009	-3.911			
NCR3LG1	0.376042	-1.19124	0.000393745	-2.34193			
NCRNA00185	0.0483306	-1.29813	0.649524	1.06582			
NDC80	0.636437	-1.08425	1.47995e-014	13.0206			
NDFIP1	0.164805	-1.31129	0.000729802	-2.1914			
NDRG4	0.498212	1.08916	1.45185e-008	-2.8511			
NDUFA12	0.259597	-1.15764	0.000227498	-1.79389			
NDUFA4	8.93763e-005	1.60206	4.71922e-007	-2.07384			
NDUFA5	0.000126059	1.33575	7.94644e-005	-1.38957			
NDUFA6	0.84272	1.02588	0.01443	-1.43797			
NDUFA8	0.141626	1.1024	1.41075e-010	-1.96154			
NDUFA9	0.904105	-1.02658	0.05574	-1.60128			
NDUFAF2	2.30154e-015	2.44197	0.105304	-1.11629			
NDUFAF4	0.000553284	1.4715	2.3402e-012	-3.45556			
NDUFAF6	3.27577e-008	1.79064	0.156835	1.13398			
NDUFB10	0.496106	-1.06935	0.04976	1.24353			
NDUFB2	5.03412e-006	1.46389	0.0260865	-1.1928			
NDUFB5	0.756403	-1.04443	8.27462e-009	-3.32188			
NDUFB6	0.260213	1.28059	0.00995814	-1.91484			
NDUFC1	0.702554	1.0482	0.29773	-1.15227			
NDUFC2-KCTD14	0.168147	1.15561	0.00943144	-1.36505			
NDUFS5	4.08239e-006	1.50991	0.210389	-1.10832			
NDUFV1	0.888317	-1.01203	0.00926898	-1.29338			
NDUFV3	0.00749603	1.12059	1.03056e-006	1.30428			
NEBL	0.611	1.19654	0.207891	-1.63589			
NECAP1	0.20602	-1.238	1.00247e-006	-3.02521			
NEDD1	0.0761531	-1.37376	1.57511e-006	3.08949			
NEDD4	0.702528	-1.06705	0.000490848	2.05575			
NEDD4L	0.182914	1.43069	0.000372322	-3.17002			
NEDD9	0.232355	-1.28387	0.663329	1.10377			
NEFH	0.0354943	-1.44402	1.73726e-015	-15.5306			
NEIL3	0.201677	1.25236	1.07048e-007	3.70162			
NEK10	0.0177569	-1.29688	4.19699e-007	-2.07539			
NEK7	0.031975	1.42761	0.0229923	-1.51506			
NEK9	0.00344924	-4.34927	0.858826	1.09524			
NEUROD1	0.552685	1.12225	0.531963	1.14229			
NEUROD2	0.721819	-1.06261	0.000523968	-2.05254			
NF2	0.79085	1.02658	2.57588e-005	-1.70428			
NFAT5	0.915413	-1.0273	0.0263188	-1.90326			
NFATC3	0.172308	1.21761	0.0116038	-1.51392			
NFE2	0.396405	-1.08653	0.110916	1.18952			
NFE2L3	0.116422	1.56904	0.153092	1.56429			
NFIC	0.013054	1.17013	0.0711883	-1.12974			
NFIL3	0.440709	-1.14901	0.0392083	1.5218			
NFIX	9.65612e-006	1.64399	0.00270366	1.39825			
NFKB1	0.210833	1.18471	0.78347	1.04109			
NFKBIA	0.0709584	1.46911	0.173692	1.36841			
NFKBIZ	0.0196462	-1.17875	5.89464e-007	1.58583			
NFRKB	0.0330161	1.26025	3.18412e-007	2.09713			
NFXL1	0.00300182	1.55799	0.999584	1.00008			
NGDN	0.0224043	1.57057	0.0123452	-1.72781			
NGLY1	0.000307316	1.28366	0.00149691	1.26414			
NHEG1	0.67053	1.03471	0.00152257	1.35453			
NHSL2	0.0204268	-1.5179	0.51625	-1.13051			
NICN1	0.0260349	-1.13686	0.0109011	-1.17689			
NID2	6.60136e-005	2.46706	0.639568	1.10635			
NIP7	0.0140019	1.48811	0.0232853	-1.49024			
NIPA2	0.235813	1.14759	0.284983	-1.14535			
NIPAL2	0.0255589	2.32389	4.21705e-005	-6.57237			
NIPSNAP3A	0.928283	1.01162	8.22108e-007	-2.37117			
NIPSNAP3B	0.0059136	1.27059	8.77428e-013	-2.83865			
NKAIN3	0.00350917	1.72072	0.529076	1.12691			
NKAP	7.9728e-010	2.20485	0.0234073	-1.26461			
NKX3-1	0.81907	1.03745	0.777491	-1.05103			
NKX6-2	0.655491	-1.0455	1.30287e-005	-1.756			
NMI	0.287199	-1.44503	0.593046	1.22268			
NMRAL1	0.194671	-1.11598	0.117656	1.15717			
NMRK1	0.155792	1.27902	0.00155282	-1.90514			
NMT1	0.712515	-1.05567	0.0738298	-1.34384			
NNMT	0.473927	1.20972	2.47002e-005	4.18673			
NNT	0.602331	1.11185	0.00244245	-2.07457			
NOD1	0.00977637	1.29001	0.000767688	1.4601			
NOL10	0.000137664	1.76495	0.749001	-1.04708			
NOL11	0.0636499	1.47166	0.926756	-1.02058			
NOM1	2.23363e-010	2.10745	0.000254239	1.43756			
NOMO1	0.187817	1.24907	0.00087292	-1.95068			
NOMO2	0.201451	1.2476	0.000992958	-1.96794			
NOMO3	0.210964	1.24249	0.000985673	-1.97269			
NOP14	3.81971e-011	1.80917	1.24051e-006	1.47604			
NOP58	3.88293e-007	2.1364	9.76092e-007	2.20075			
NOP9	0.127442	1.1113	0.243641	-1.09167			
NOS1AP	0.00400604	-1.34427	0.776716	-1.0302			
NOS2	0.069019	2.06176	0.910199	-1.04897			
NOTCH2	0.64936	1.09235	0.0160697	1.71182			
NOTCH2NL	0.160756	1.14881	8.96e-012	3.10253			
NPAS2	0.433349	1.57945	0.365309	-1.78526			
NPAT	0.0414707	1.35576	0.00601671	1.58833			
NPLOC4	0.734975	-1.04037	0.488231	1.09314			
NPM1	7.33725e-007	1.81983	1.36307e-005	1.72693			
NPNT	0.749096	1.32767	0.616582	1.62687			
NPR2	0.203589	1.20775	0.926865	1.01483			
NPR3	0.797507	1.03293	0.656565	1.06352			
NPS	0.819942	1.06522	0.868644	1.05156			
NPTN	0.368975	-1.15137	2.60254e-010	-4.80164			
NQO1	9.23539e-011	7.11599	0.0285315	-1.66501			
NQO2	0.000809532	1.28859	0.0672042	-1.15215			
NR1D1	0.00808115	1.38056	8.60425e-006	-1.94736			
NR1D2	2.26694e-006	2.05712	1.20794e-009	-3.23013			
NR2C1	0.132966	1.14328	0.000159452	1.50661			
NR2E1	0.610212	1.23678	0.20508	1.79561			
NR3C1	0.244897	1.16918	0.0147506	-1.45288			
NR6A1	2.23643e-006	1.69606	0.60614	1.05308			
NRBP1	0.997084	1.00032	0.00754226	1.31296			
NRCAM	0.0016329	-2.53089	0.977646	-1.00834			
NREP	0.0507784	1.25272	0.181276	1.18058			
NRG1	0.812992	1.04172	0.218367	1.26602			
NRG1-IT1	0.865455	-1.06222	0.277454	-1.53416			
NRG1-IT2	0.76605	-1.12366	0.698946	-1.18069			
NRG1-IT3	0.864826	-1.02686	0.860531	-1.03042			
NRG2	4.32794e-005	1.33176	0.012968	1.1894			
NRGN	0.138646	-1.35557	1.49443e-009	-6.52349			
NRM	0.00915685	-1.34922	0.013239	1.36357			
NRP1	0.00317159	2.44691	0.909151	1.03579			
NRXN3	0.651091	-1.1037	4.07958e-008	-5.60969			
NSA2	0.623231	1.07071	0.0631701	1.33765			
NSAP11	0.93537	-1.00918	0.00477431	1.45249			
NSD1	0.825664	1.02356	0.0229724	1.3167			
NSDHL	0.0266814	1.35302	0.00314838	-1.57819			
NSF	0.896436	1.01853	4.32095e-013	-6.40998			
NSFP1	0.906945	1.0166	9.36111e-013	-6.03847			
NSMAF	0.0325715	1.39552	0.00184924	1.74419			
NSUN2	0.00176555	1.49362	0.00509116	1.47258			
NSUN5	3.73609e-005	1.42507	4.07847e-006	1.56996			
NSUN5P1	0.000971736	1.49902	5.73933e-008	2.38327			
NSUN5P2	0.00138012	1.41529	7.09794e-007	1.96147			
NT5C3	1.58309e-007	2.99343	0.146978	1.30144			
NT5DC1	0.0190802	-1.72492	7.1907e-008	-5.50696			
NT5DC3	0.000127657	4.55729	0.248344	-1.56056			
NT5E	0.024368	2.06952	0.135264	1.67504			
NTAN1	0.93994	1.01153	0.261174	-1.20843			
NTF3	0.520534	-1.06269	0.758502	1.0323			
NTM-IT2	0.0364112	-1.20124	3.04363e-006	1.6899			
NTSR1	0.847717	-1.02197	0.730002	1.04375			
NUAK1	0.007501	1.67822	4.90185e-010	-5.94133			
NUAK2	0.0167918	1.61227	0.979176	1.00545			
NUB1	1.43522e-006	1.61718	0.0036934	1.31893			
NUBP1	0.212548	-1.09239	3.62755e-005	1.44494			
NUCB2	0.865064	-1.03051	0.972807	-1.00662			
NUDCD1	1.63232e-005	2.23091	0.573993	1.10238			
NUDCD2	0.026957	1.23951	0.000468608	1.48724			
NUDT19	1.36813e-005	1.72138	0.00329231	-1.44226			
NUDT4	2.64387e-005	1.72075	0.0088727	-1.39914			
NUDT6	0.0333297	1.14131	0.103815	1.11505			
NUDT9	0.216547	1.10019	0.00518731	-1.28383			
NUDT9P1	0.00120258	1.44412	0.0582916	-1.24802			
NUF2	0.194737	1.36362	1.17076e-009	9.18782			
NUFIP2	0.582329	1.09469	0.393507	1.16687			
NUMB	0.495979	-1.12362	0.0141043	-1.62074			
NUP160	0.000607411	1.71552	1.93693e-007	2.8185			
NUP205	2.11541e-006	2.61296	0.000270775	2.09952			
NUP35	0.000191133	1.39122	0.00157944	1.34405			
NUP37	0.0622481	1.23225	0.000232664	1.63836			
NUP43	0.60829	1.06622	0.00115775	1.6275			
NUP50	0.412141	1.08662	0.000929452	-1.49463			
NUP54	0.119427	1.2164	0.484128	1.09949			
NUP62	0.00671216	1.48245	0.00455261	1.57485			
NUP85	0.0222756	1.27942	9.30923e-006	1.8154			
NUP98	0.000757304	1.39891	0.00102442	1.42866			
NUPL2	4.38662e-006	2.56164	0.000716923	2.00292			
NXF1	0.692917	-1.0737	0.0180593	1.63015			
NXPE3	0.543443	1.05158	1.54613e-007	-1.83896			
O3FAR1	0.167955	-1.14575	0.351898	-1.10489			
OAF	0.417283	1.14133	0.861995	-1.03135			
OAS1	0.655677	-1.24132	0.386965	1.58664			
OAS2					0.925626	-1.07058	
OAS3	0.148359	-1.91289	0.363842	1.55522			
OASL	0.876002	-1.05739	0.709839	1.15708			
OAT	0.0429671	1.4321	3.37787e-006	-2.88077			
OAZ1	0.0220254	1.3022	9.82523e-005	-1.71187			
OBFC1	0.57799	-1.08103	0.131813	-1.26501			
OCIAD1	0.56632	-1.06891	0.00247563	-1.51573			
OCIAD2	0.0443922	1.80447	0.699209	1.12773			
OCM	0.520357	-1.05318	0.0102784	1.26998			
OCRL	7.11717e-006	2.09161	2.97907e-005	-2.08078			
ODZ2	7.94201e-011	-9.14368	7.65126e-005	-3.116			
OFD1	0.000226867	1.92032	2.31538e-008	3.59689			
OGDH	0.000879159	1.54286	0.0220448	-1.36418			
OGFOD1	0.418055	1.17668	0.0227177	-1.68422			
OGFOD2	0.831443	-1.0148	0.000902681	1.31798			
OGFR	0.597849	1.06181	0.0387094	1.3053			
OGFRL1	0.398982	1.26427	0.0364903	-1.92951			
OGT	0.017542	1.54208	0.898555	1.02456			
OIP5	0.540636	-1.16352	7.80738e-005	3.40484			
OLFM2	0.235943	1.44543	0.176131	-1.58773			
OLFML2B	0.753366	-1.0697	7.90399e-005	2.89485			
OLR1	0.988171	1.00252	0.0393723	1.48796			
OPA1	0.00485994	1.47526	2.0036e-005	-2.02954			
OPA3	0.194499	1.09706	0.392046	-1.06866			
OPCML	0.100426	-1.96803	1.05645e-005	-10.0768			
OPRD1	0.0982163	1.23318	0.830911	-1.0294			
OPRL1	0.577315	1.06047	0.453967	-1.09046			
OPTN	0.169073	-1.32059	0.0001906	-2.50685			
OR10C1	0.527798	1.08135	0.251944	1.16962			
OR10G2	0.715955	1.02997	0.0377823	1.21094			
OR11A1	0.944985	-1.00406	0.697985	-1.02528			
OR11H1	0.85482	1.02846	0.0392449	1.43203			
OR11H2	0.868172	1.02015	0.16758	1.20276			
OR2AE1	0.137585	1.18702	0.71469	1.04648			
OR2AG1	0.606173	-1.03259	0.00120478	1.2727			
OR2B6	0.716613	1.11425	0.0038852	2.75089			
OR2H2	0.88778	-1.0112	0.00234418	1.32991			
OR2J2	0.419746	-1.11897	0.0551236	1.35037			
OR2L5	0.856121	-1.02323	0.0366927	-1.35094			
OR2M4	0.0837541	1.14681	0.109578	-1.14836			
OR2T10	0.310568	1.11967	0.50443	1.08449			
OR2T35	0.453735	-1.10295	0.0642166	1.31222			
OR2W1	0.318618	1.14855	0.358713	1.14964			
OR4C45	0.334395	-1.08834	0.140724	-1.15376			
OR4M1	0.900394	-1.01207	0.0378888	1.25373			
OR4N2	0.992598	-1.00542	1.87085e-005	24.8255			
OR51G2	0.895985	1.01767	0.850539	1.02804			
OR51V1	0.441741	1.07284	0.188211	1.14228			
OR52H1	0.82673	-1.03512	6.05482e-005	2.22127			
OR52K2	0.862356	-1.0266	0.107602	1.31359			
OR56B1	0.000306221	-4.6676	0.479567	1.34465			
OR5T1	0.912666	1.01013	0.36708	1.09568			
OR6K3	0.716658	-1.03476	0.986685	-1.00172			
OR6K6	0.593025	-1.07239	0.196095	1.20609			
OR6V1	0.760502	-1.0332	0.251835	1.14558			
OR6Y1	0.607566	1.06533	0.0241615	1.37323			
OR7C1	0.288252	1.19078	0.427947	-1.15278			
OR7G1	0.265368	1.07144	0.0114257	-1.19658			
OR8I2	0.537396	1.08239	0.488287	1.10245			
OR9G1	0.695264	-1.05578	0.0431862	1.37358			
ORAI1	0.0623379	1.14475	0.389503	1.06907			
ORC1	0.0135358	1.53462	0.000919063	1.92997			
ORC2	4.94886e-005	1.5827	0.890418	-1.01488			
ORC3	0.374447	-1.20936	0.832415	-1.05053			
ORC4	0.0706322	1.32084	0.000980074	-1.81144			
ORC5	8.20302e-006	1.90765	0.000452082	-1.68025			
ORC6	0.00884507	1.34024	3.04241e-005	1.75408			
ORM1	0.461873	-1.0735	0.190812	1.14973			
OSBP	0.827669	1.01814	0.896419	-1.01184			
OSBP2	0.0976217	-1.1892	0.0283801	-1.29135			
OSBPL3	0.840035	1.08817	0.974776	1.0146			
OSBPL6	0.474512	-1.18097	0.795469	-1.06801			
OSGEP	0.955501	1.00792	0.0175676	1.47136			
OSGEPL1	0.450681	1.08157	0.00845584	1.37272			
OSTC	0.00937287	1.30677	0.308772	-1.11549			
OSTF1	0.115442	-1.90329	0.0240657	-2.81066			
OSTM1	0.260937	-1.16312	0.102827	-1.27518			
OTOA	0.822402	1.01489	0.642559	1.03408			
OTUD4	0.1398	1.19893	0.346317	1.13357			
OTUD5	0.00228283	1.22348	0.000323593	-1.30867			
OVCH2	0.859212	-1.01395	0.942373	-1.0062			
OXR1	0.000130157	1.5714	4.04799e-013	-3.94083			
OXSR1	0.0353398	1.36832	0.0508273	1.37313			
P2RX6P	0.695692	1.0498	0.913344	1.0149			
P2RY8	0.402881	-1.08086	0.499673	1.071			
P4HA3	0.264643	1.16579	0.0805585	1.30649			
P4HB	0.583053	-1.04323	2.37028e-008	1.87005			
PABPC1L2B	0.849737	-1.01548	4.41951e-005	-1.52247			
PAEP	0.463971	-1.06093	0.087462	1.16685			
PAFAH2	0.126918	1.20237	0.462102	1.10054			
PAGE1	0.60348	-1.04946	0.380242	1.09387			
PAGE2	0.729109	1.04111	0.169612	1.19443			
PAK1	0.0244908	-1.90783	3.7475e-006	-5.40419			
PAK1IP1	0.000150418	1.66843	0.499722	-1.09237			
PANK2	2.24893e-007	1.52456	0.0255048	-1.17714			
PANX1	0.352448	1.13919	0.0255343	1.42647			
PAPD4	0.745539	1.0631	0.194475	1.31203			
PAPD5	0.140053	1.33546	0.000153873	-2.47164			
PAPD7	0.535067	1.08043	0.124507	1.2379			
PAPOLA	0.488401	1.19409	0.193942	-1.44495			
PAPOLB	9.4073e-005	1.81473	0.301531	1.16458			
PAPOLG	0.110107	1.37128	0.00598471	-1.86164			
PAPPA	0.965928	-1.01085	0.674967	1.1232			
PARL	0.225558	1.18148	0.346505	-1.15167			
PARN	0.11817	1.20271	0.119175	1.22339			
PARP12	0.043715	1.88892	0.0413083	2.02475			
PARP14	0.169763	-1.85979	0.246354	1.77046			
PARP16	0.00344195	1.31332	0.000344971	1.4615			
PARP3	0.442987	1.05889	0.0010666	1.33911			
PARP8	9.17767e-006	-2.13027	0.0101468	-1.53189			
PARP9	0.104396	-1.71851	0.145042	1.69882			
PARPBP	0.00975342	1.48448	1.3947e-007	2.91941			
PARVA	0.566262	-1.10272	0.00439805	-1.76636			
PATL2	0.751526	-1.02299	1.06828e-006	1.60801			
PAX3	0.117973	-1.89294	0.0012419	4.7037			
PAX6	0.000283194	-2.1346	0.00520369	1.83927			
PAX8	0.813319	-1.03136	0.396871	1.12981			
PAXIP1	2.09876e-007	2.45029	4.61517e-008	2.89738			
PBK	0.868038	1.04011	1.05976e-011	15.4073			
PCBD2	0.0328645	-1.23547	0.757305	1.03282			
PCBP2	0.530645	-1.04784	0.249139	1.09948			
PCDH20	0.576085	-1.04523	8.7565e-006	-1.58139			
PCDHB1	0.851425	1.03894	0.91676	-1.02362			
PCDHB10	0.120521	-1.45852	1.94657e-005	3.70645			
PCDHB12	0.15328	-1.53611	4.01948e-005	4.67693			
PCDHB13	0.0594555	-1.69795	1.43014e-005	4.62424			
PCDHB14	0.778561	-1.08995	0.000909247	3.40115			
PCDHB16	0.0818686	-2.3494	0.000244951	8.69297			
PCDHB17	0.716742	1.1568	0.0411883	2.53303			
PCDHB2	0.223514	-1.48137	0.12842	1.71858			
PCDHB4	0.0654269	-2.7261	0.50213	-1.47738			
PCDHB7	0.422973	-1.43758	0.00255518	5.00761			
PCDHB8	0.0410305	-2.09274	2.24618e-006	9.10419			
PCDHB9	0.145085	1.4861	0.000197762	3.41896			
PCDHGA9	0.0489085	-1.69154	0.000199928	3.27954			
PCDHGB2	0.0217259	-4.65503	0.0118429	6.45413			
PCDHGB8P	0.29626	1.20551	2.56434e-009	4.992			
PCDHGC4	0.174237	-1.23217	1.96593e-009	4.01103			
