Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
ZNF141	0.937806	1.01269	0.0464127	1.44003	0.546666	1.10616	0.881155	-1.02682	0.891851	1.02436	0.12002	-1.38313	
HCG26	0.949371	1.01301	0.0591196	1.54303	0.303118	1.24409	0.000292806	2.47361	0.482321	1.17033	0.436108	1.22326	
FAM46A	0.890664	1.01304	2.82033e-007	1.9605	0.300404	1.10706	5.45899e-005	1.61759	2.66707e-005	1.66021	3.62942e-005	1.77263	
IL10RB	0.889463	1.01304	4.91637e-006	1.75452	1.98281e-005	1.62072	0.00812567	1.33257	0.00526836	1.35628	0.00631548	1.40978	
NAA30	0.904727	1.01308	0.0301746	1.30796	0.608275	1.05931	0.000624211	-1.56941	2.11411e-006	-1.99434	4.84346e-009	-3.01436	
MRGPRX1	0.941373	1.01313	0.111255	1.37197	0.700139	1.07321	0.966591	1.00817	0.0489245	1.48524	0.0106833	1.8329	
CCDC60	0.887413	1.01315	0.379355	-1.09354	0.65074	-1.04416	0.884252	1.01482	0.183454	1.1462	0.020512	1.32721	
BIRC3	0.956249	1.01316	6.54881e-005	3.31873	0.0965306	1.52013	0.362364	-1.27059	0.00060382	2.6973	0.383253	-1.30284	
RN5S137	0.913102	1.01316	0.492501	-1.09464	0.513006	-1.08462	0.680846	1.05554	0.749037	-1.04291	0.0795089	-1.31359	
LOC100127974	0.927525	1.0133	0.0579731	1.36495	0.221983	1.20391	0.945688	-1.0109	0.0286452	1.4374	0.032385	1.50515	
ZNF224	0.924887	1.01334	0.0221401	1.4455	0.20386	1.20563	0.0244905	1.43575	0.455344	1.12242	0.0383787	-1.4651	
KIAA1199	0.974187	1.01356	6.49281e-005	8.13236	0.000838793	4.86328	0.453866	-1.40922	0.215257	-1.77233	0.776457	-1.16132	
STAP1	0.903838	1.01357	0.446257	-1.09806	0.921762	-1.01138	0.128736	1.20845	0.123722	1.21163	0.156883	1.22533	
LOC100506497	0.927774	1.01384	9.45907e-005	2.09975	0.0290841	1.42771	3.67633e-007	2.90857	0.00758413	1.60274	0.0667656	-1.4361	
RAC1P2	0.930514	1.01415	0.184512	1.26833	0.657816	1.07661	0.447793	1.14409	0.348775	-1.18126	0.76702	-1.06228	
C14orf109	0.912858	1.01461	0.125184	1.25505	0.889806	1.01915	0.251519	1.1834	0.834499	1.03082	0.00120839	-1.81224	
LOC100653336	0.936995	1.01462	0.0558809	1.48684	0.416999	1.16735	0.114985	1.38225	0.0304886	1.57282	0.0214777	1.74837	
GOLGA8J	0.938666	1.01476	0.0398958	1.55971	0.265495	1.24777	0.0571201	1.5059	0.000234098	2.37348	5.50673e-005	3.07024	
PDLIM1	0.946935	1.01481	0.0166889	1.83702	0.0146986	1.79603	0.725877	-1.08861	0.168517	-1.40282	0.203427	1.43355	
MBD3	0.894542	1.01483	0.456783	-1.09523	0.741729	-1.03856	0.914071	-1.01322	0.148783	1.19579	0.182114	1.20962	
OTOA	0.822402	1.01489	0.201936	-1.09775	0.609529	-1.0354	0.634269	-1.03495	0.642559	1.03408	0.0386821	1.19541	
C5orf42	0.936171	1.0154	0.156123	1.35197	0.110014	1.37971	0.101229	1.41979	0.522343	1.14361	0.176042	-1.39333	
LOC100507164	0.878264	1.01556	0.000289604	1.56663	0.00836229	1.33834	0.000489832	1.53417	0.096971	1.20633	0.000628446	-1.62036	
APOL1	0.84995	1.01576	9.12677e-007	1.73728	0.0355285	1.20485	0.0220615	1.24207	0.736253	-1.03099	1.65612e-005	-1.70042	
GAGE8	0.895594	1.01577	0.475386	-1.09811	0.919747	1.01248	0.957144	1.00704	0.263761	1.15889	0.514439	1.10367	
SNORD114-29	0.936227	1.0159	0.00535676	1.90245	0.347654	-1.2125	0.0647685	-1.50786	0.00124818	-2.14524	8.72091e-010	-8.76511	
VPS29	0.874691	1.01604	0.00868287	1.36033	0.0025536	1.40511	0.0765208	-1.22268	0.0098546	-1.35261	0.361114	-1.12452	
LNX1-AS1	0.792115	1.01605	0.172536	-1.096	0.804115	-1.0156	0.389114	-1.059	0.697889	1.02604	0.292516	1.08454	
MIR155	0.931238	1.01609	0.0121218	1.7099	0.0798295	1.40976	0.885122	-1.02971	0.125922	1.37198	0.148886	-1.41013	
PDHX	0.873782	1.01637	0.000506507	1.54124	0.125689	1.17923	7.25324e-005	-1.66578	0.000162561	-1.61329	2.21988e-007	-2.34928	
DHFR	0.898141	1.0164	0.00314232	1.55785	0.165944	1.20295	1.64645e-005	2.02812	3.75157e-008	2.74659	1.00379e-007	3.02951	
MECOM	0.933375	1.01644	5.65257e-006	3.20914	0.166443	1.3276	0.138644	1.38048	0.777087	-1.06242	0.204696	-1.37339	
MIR147A	0.897017	1.0165	0.0127742	1.43856	0.293764	1.14837	2.01599e-005	2.00089	0.00060929	1.6918	4.02022e-007	2.77952	
NSFP1	0.906945	1.0166	0.00989251	1.52411	0.030154	1.38859	1.74078e-013	-6.84039	9.36111e-013	-6.03847	1.07396e-010	-5.48777	
IKBKAP-IT1	0.94955	1.01663	0.412323	1.26545	0.792345	-1.07349	0.000751944	2.89318	0.00032728	3.1536	3.54295e-005	4.88568	
MELK	0.937032	1.01668	0.0255239	1.70656	0.777693	1.06298	6.08937e-006	3.47321	1.07791e-010	8.94585	2.56086e-011	14.7567	
GNG11	0.962965	1.01687	0.0270395	2.48434	0.0265918	2.36482	0.983081	1.00841	0.332698	-1.47022	0.811039	-1.11519	
PPP1R3A	0.820252	1.01691	0.258666	-1.09663	0.741048	-1.02551	0.544659	-1.05031	0.464324	1.06118	0.856499	-1.01702	
EBAG9	0.910058	1.01708	0.0165907	1.51162	0.86927	-1.02581	0.121127	-1.2966	0.070591	-1.35695	1.528e-005	-2.63293	
ARX	0.878008	1.01711	0.46407	-1.09312	0.831971	1.02452	0.295598	-1.13632	0.374743	-1.11424	0.97746	1.00396	
S100A6	0.775603	1.01715	1.35709e-007	1.55772	2.23314e-009	1.67042	0.070163	1.12932	8.35464e-005	1.34241	0.0351364	1.17942	
FLJ44838	0.940761	1.01721	0.728713	-1.09127	0.74799	-1.07925	0.740847	-1.08684	0.644679	-1.12325	0.00473754	2.40835	
SGOL1	0.942907	1.01729	0.0747372	1.61628	0.198443	1.38048	5.86177e-005	3.37072	4.35412e-010	10.5423	1.06198e-012	33.4929	
LOC643648	0.786824	1.01751	0.201682	-1.09524	0.942305	1.00481	0.0229307	1.18186	5.40164e-006	1.46893	0.000678125	1.35658	
PHYH	0.901496	1.01765	0.000183183	1.92473	0.440879	1.11968	0.00444799	-1.60348	0.000784617	-1.77444	2.38219e-009	-4.4142	
OR51G2	0.895985	1.01767	0.12657	1.25688	0.739517	1.04711	0.124839	-1.25825	0.850539	1.02804	0.00367572	1.69778	
CHAT	0.801025	1.01774	0.217983	-1.10003	0.498811	-1.05012	0.474614	1.05639	0.00765953	1.24185	0.0210848	1.23734	
TMX4	0.938983	1.01779	0.0736298	1.59038	0.016957	1.81598	0.135621	-1.46789	1.92906e-005	-3.5543	1.14581e-005	-4.56147	
FDX1	0.857753	1.01781	1.68362e-005	1.7284	0.325181	1.10615	0.00602597	-1.37188	0.0188757	-1.30415	0.00274063	-1.4967	
OSBP	0.827669	1.01814	0.0113963	1.27349	0.37223	1.0796	0.498303	-1.0634	0.896419	-1.01184	2.84669e-006	-1.8129	
MIR329-2	0.946878	1.01838	0.15507	1.54203	0.326648	-1.32202	0.515845	-1.21561	0.841884	-1.06157	0.126697	-1.71361	
NSF	0.896436	1.01853	0.00856757	1.53902	0.0213448	1.42041	1.21898e-013	-7.0516	4.32095e-013	-6.40998	7.07856e-011	-5.6778	
SH2B3	0.925972	1.01856	1.5109e-006	3.60969	0.000920577	2.1068	0.437693	1.18423	0.383234	1.20953	0.00489101	2.12597	
EFS	0.870592	1.01857	0.0202241	1.35097	0.00182678	1.48508	0.293473	1.14015	0.140531	1.20405	0.558942	1.08731	
LOC100506267	0.856594	1.0186	0.00784391	1.37096	0.0129752	1.31758	0.956084	-1.00617	0.0662657	1.23499	0.989179	-1.00175	
FAM167B	0.879479	1.0186	0.484085	-1.09806	0.684784	-1.05235	0.476306	1.09991	0.0875968	1.26255	0.00787876	1.54356	
MAGI1-AS1	0.89741	1.01878	0.559687	-1.09684	0.499242	-1.10633	0.700118	-1.06283	0.2217	1.21599	0.511068	1.12789	
HMGXB4	0.932148	1.01884	0.0612517	1.589	0.564524	1.13975	0.421288	1.21431	0.872432	1.03932	0.0142982	-2.04463	
MYADML2	0.878731	1.01884	0.531023	-1.08785	0.702592	-1.04947	0.798565	-1.0348	0.452003	1.10654	0.168961	1.24139	
LARGE	0.898186	1.0189	0.0120384	1.5293	0.23151	1.20079	0.00790686	-1.57192	0.000477089	-1.8641	2.13559e-006	-2.92441	
ZNF227	0.859645	1.01903	0.0260974	1.31122	0.674194	1.04743	0.026815	1.30939	0.0895548	1.22521	0.118919	-1.23935	
DEFB115	0.842442	1.01908	0.364919	-1.09966	0.912679	1.01082	0.514454	-1.0705	0.986104	1.00182	0.118272	1.21137	
PLSCR1	0.959519	1.01913	3.09673e-006	10.1564	0.0084015	2.94138	0.0386914	2.40375	0.840882	1.08561	0.0706291	-2.40583	
CT45A3	0.82984	1.01923	0.390562	-1.08746	0.898867	-1.0117	0.811412	1.02344	0.21085	-1.13094	0.286656	-1.12811	
MS4A15	0.794769	1.01929	0.267576	-1.09429	0.933521	-1.00635	0.889386	1.01125	0.113786	1.13875	0.00166341	1.37468	
TPI1P3	0.90094	1.01936	0.0875908	1.34379	0.0418919	1.3984	0.17102	-1.26452	0.718717	1.06273	0.307714	1.22202	
HTR3D	0.813046	1.01945	0.286409	-1.10076	0.740941	-1.02822	0.932691	-1.00756	0.121796	1.15124	0.0163471	1.2967	
RPL36AL	0.920017	1.01949	0.115717	1.40239	0.641291	1.09706	0.159432	-1.35149	0.00448226	-1.89937	1.02085e-006	-4.36348	
RAB42	0.770067	1.01959	0.000145816	1.36792	0.0167735	1.18779	0.479758	-1.05292	0.000983006	1.30108	0.510615	1.05697	
PSMD6	0.796078	1.01965	0.00335824	1.29749	0.00118548	1.31798	0.0142494	-1.23705	0.0384243	-1.19366	0.63709	1.04602	
ID2	0.928891	1.01967	0.000901953	2.39542	0.0137742	1.79485	0.00380256	2.10414	0.0141092	1.85522	0.153863	1.49264	
DEC1	0.783043	1.01975	0.25111	-1.09441	0.995589	1.00041	0.122921	1.13017	0.00196621	1.29883	0.00428596	1.31668	
PNMAL1	0.829741	1.01979	0.0412396	1.23496	0.078708	1.18509	6.04713e-010	-2.41825	2.43932e-009	-2.28869	4.8064e-007	-2.07362	
MIR3685	0.874566	1.0198	0.000336865	1.72605	0.821888	1.02931	5.11033e-006	2.11091	0.0125398	1.43098	0.0304913	-1.42447	
ARF4	0.774518	1.0198	3.05032e-008	1.73244	0.00017332	1.35006	0.0125328	1.21814	6.66292e-010	1.93484	1.47898e-010	2.25955	
TAPBPL	0.819873	1.01983	2.67947e-007	1.85448	9.0208e-007	1.72211	1.50396e-005	1.62055	0.0116827	1.28596	0.000126512	1.60903	
PITX2	0.929341	1.0201	0.17009	1.40865	0.854066	-1.04356	0.184079	1.39293	0.02424	1.7833	0.0326446	1.87854	
RADIL	0.851721	1.02011	0.472919	-1.08771	0.793381	-1.02924	0.607872	-1.06181	0.669694	1.05109	0.194487	1.19391	
OR11H2	0.868172	1.02015	0.112802	1.23769	0.386284	1.11428	0.720779	1.04823	0.16758	1.20276	0.364744	1.14881	
ANAPC10	0.861732	1.02025	0.00172221	1.53771	0.25144	1.14779	0.297803	-1.14163	0.507709	-1.08743	0.0204305	-1.42388	
SLC39A8	0.889532	1.02032	2.53e-006	2.48505	3.06051e-005	2.06916	0.891632	-1.02185	0.139726	-1.26949	1.924e-007	-3.38619	
LINC00211	0.796777	1.02039	0.315072	-1.09083	0.71876	-1.02959	0.785786	-1.02361	0.92257	-1.00838	0.43756	1.08038	
TOB2	0.893707	1.02045	0.0404877	1.42237	0.440341	1.12897	0.663411	1.075	0.09078	-1.33312	0.000258793	-2.19624	
IFT74	0.9519	1.02052	0.0124502	2.64464	0.00573063	-2.7901	0.444633	1.32752	0.481454	1.29786	0.0202161	-2.81738	
RAP1B	0.954737	1.02066	0.0549561	2.18492	0.237122	1.56065	0.976845	1.01152	0.508285	-1.29956	0.892461	1.06355	
TBCCD1	0.821917	1.02067	0.000260959	1.5044	0.0046302	1.32942	0.0191067	1.27694	0.0954335	1.1852	0.372955	1.10857	
DECR1	0.829171	1.02077	0.000331405	1.52073	0.363928	1.0941	0.0388017	1.25056	0.00774205	1.3436	0.726595	1.04307	
RASA2-IT1	0.844013	1.02118	0.411464	-1.10115	0.454417	1.08618	0.032599	1.29592	0.0142108	1.35146	0.00062709	1.66545	
TUBA1C	0.715479	1.02125	0.000163013	1.30943	0.0203778	1.15548	0.456163	-1.04838	0.00249769	1.22943	5.2611e-005	1.40561	
SH3BGR	0.772934	1.0213	5.67321e-005	1.44991	6.52019e-006	1.50318	2.62697e-008	1.80603	0.00119664	1.32822	1.28872e-007	-1.87467	
C19orf40	0.869044	1.02153	0.0354078	1.36222	0.677104	1.0572	0.542806	1.09021	0.0836827	1.28536	0.0729971	1.35126	
SP100	0.954503	1.02167	6.44548e-007	12.9689	0.000962336	4.09112	0.00122756	4.29392	0.0851248	2.06862	0.709282	1.19414	
AKR1B10	0.805994	1.02169	0.000312919	1.4716	0.431377	1.07395	0.373205	-1.08955	0.078657	1.18854	0.585527	1.06225	
STAMBP	0.84442	1.0219	0.0037506	1.4577	0.128816	1.19312	0.861899	-1.02126	0.166208	1.18549	0.339822	1.14374	
SLC25A20	0.768317	1.0219	0.000518262	1.36399	4.98447e-005	1.42763	0.390988	1.07195	0.140946	1.1283	0.106726	1.16567	
PNLIPRP3	0.700237	1.02201	0.127025	-1.10107	0.432632	-1.04708	0.225174	-1.07893	0.729867	1.02161	0.0361606	-1.1681	
ZNF829	0.861138	1.02221	0.00117686	1.63052	0.207977	1.17992	0.971084	1.005	0.0209569	1.39419	0.0102248	-1.53968	
CEACAM1	0.773907	1.02253	0.0150811	1.24249	0.272128	1.09288	0.00210663	1.32763	0.031794	1.20882	0.00147706	1.4054	
PTAR1	0.861337	1.02259	0.135496	1.23745	0.114503	1.23719	0.212498	1.19353	0.247808	1.17785	0.440003	-1.13371	
BRP44	0.722227	1.02276	0.000929311	1.28706	0.119418	1.10941	1.07515e-010	-1.93883	6.86813e-011	-1.96425	9.07294e-011	-2.16018	
HOXB5	0.914334	1.02282	0.0119885	1.83934	0.832031	1.04703	0.255119	-1.30256	0.603085	1.12719	0.512789	1.19036	
ZNF385D-AS2	0.63541	1.02283	0.0944821	-1.09324	0.549111	-1.02993	0.672284	1.0223	0.0562315	1.10796	0.754411	-1.019	
APOL3	0.820702	1.0231	7.9429e-007	1.97125	0.0317569	1.26163	0.0153743	1.32479	0.520185	1.0738	2.0176e-006	-2.09903	
RN5S38	0.881303	1.02321	0.134344	1.29282	0.775304	-1.04637	0.360087	-1.1678	0.448699	1.13669	3.69158e-008	-4.10361	
SNORD93	0.967983	1.02327	0.154211	2.48452	0.0329382	3.71562	0.0268492	4.26039	0.629608	1.35442	0.131543	-3.04828	
STIM1	0.823581	1.02333	0.000438254	1.55849	0.0118263	1.3283	0.392763	1.10231	0.000618825	-1.53652	4.52957e-006	-2.06237	
GNAI3	0.881812	1.02338	0.000855507	1.86885	0.651166	1.0754	0.346819	1.17511	0.199711	1.2478	0.436603	-1.16615	
PRDM16	0.78621	1.02338	0.00777772	1.30205	0.00152372	1.35564	0.00407088	1.33351	0.914049	1.01012	0.634361	1.05267	
RAB32	0.872909	1.02338	0.0348419	1.41466	0.122606	1.26499	0.591376	1.08889	0.092594	1.31342	0.733491	1.06426	
TAPT1	0.909485	1.02338	2.78097e-005	2.97493	0.00858465	1.79596	0.0384296	-1.61312	0.186661	-1.34772	0.0678012	-1.62111	
MTA2	0.80408	1.02351	4.95367e-005	1.61838	0.182277	1.13992	0.0322225	1.25669	0.0043954	1.36806	0.080671	1.23659	
ZCCHC6	0.880243	1.02353	0.00172327	1.78068	0.189512	1.23638	0.0623241	1.38346	0.11046	1.3175	0.0509623	-1.48229	
NSD1	0.825664	1.02356	0.0702154	1.24049	0.411413	1.09434	0.0287209	1.30182	0.0229724	1.3167	0.665623	1.05956	
MIR4454	0.712837	1.02361	0.229744	-1.08801	0.90931	-1.00748	0.000614387	1.30114	0.00313008	1.24742	3.25521e-006	1.57247	
ABI3BP	0.958611	1.02362	0.211961	1.86483	0.665795	1.22257	0.00349839	4.70632	0.634824	1.26422	0.000245468	-10.4558	
SLTM	0.867894	1.02366	0.0169933	1.47095	0.103935	1.27304	0.0733003	1.32762	0.0190434	1.45999	0.213608	1.25111	
NAA40	0.721101	1.02378	6.86142e-005	1.39078	0.147589	1.10532	4.48247e-008	1.6791	1.68492e-008	1.72385	1.23778e-005	1.53879	
RACGAP1P	0.845995	1.02379	0.016077	1.39846	0.0930597	1.23987	0.242575	1.16966	0.0122236	1.41987	0.00441496	1.5958	
CXorf28	0.863819	1.02383	0.154687	1.2433	0.246595	1.18079	0.0969147	1.29124	0.0561872	1.34487	0.00368109	1.72042	
MET	0.957138	1.0239	1.56534e-005	11.6372	0.241147	1.71295	0.072682	-2.43044	0.133095	-2.08978	0.000154789	-10.8564	
SPRR2E	0.751356	1.02418	0.271025	-1.09611	0.2059	1.1049	0.526064	1.0539	0.190388	1.11588	0.120027	1.16325	
SERPINE1	0.947275	1.02421	5.05706e-008	16.9865	0.00270896	3.357	0.00889215	3.00268	0.000502367	4.6293	3.61289e-006	13.0437	
HOXA4	0.89264	1.0243	0.00666676	1.75635	0.00485643	1.74027	0.413005	1.17399	0.0169175	1.63024	0.00128692	2.20877	
PSMD7	0.882836	1.02457	0.213651	1.25515	0.252724	1.21733	0.000538805	-1.99964	0.000110637	-2.21507	6.03595e-005	-2.61934	
LOC283692	0.832205	1.0247	0.502034	-1.08868	0.906826	-1.01401	0.0140538	-1.38559	0.0120623	-1.39674	0.000145279	-1.87368	
MCM5	0.725228	1.02499	6.06828e-012	2.29317	9.6571e-005	1.38125	1.62203e-007	1.67631	2.25667e-005	1.46513	1.23915e-006	1.70192	
RACGAP1	0.826956	1.02515	0.0536509	1.28123	0.0603054	1.25493	0.00176781	1.52719	1.06735e-008	2.61628	1.82766e-009	3.34775	
ESX1	0.782534	1.02518	0.341948	-1.09905	0.911765	-1.01036	0.332111	1.10122	0.208258	1.13404	0.029127	1.29537	
LOC100506957	0.81243	1.02519	0.0507181	1.26073	0.96127	1.00527	0.0023798	1.45902	1.09193e-007	2.1991	0.00034367	1.70024	
PPCS	0.861803	1.0252	0.000182986	1.93933	0.00236999	1.62587	0.0959406	-1.30588	0.00441995	-1.6128	0.000792804	-1.95246	
MAPT	0.791455	1.0253	1.81204e-006	1.83301	0.184166	1.14052	9.97872e-007	-1.87361	0.0905911	-1.19649	1.14759e-006	-2.0525	
CD55	0.844476	1.02536	0.000369657	1.74405	0.998496	-1.00025	8.1742e-007	-2.35941	2.15961e-005	-2.0076	0.00889124	-1.56514	
ZNF813	0.719224	1.02537	2.82046e-005	1.4522	0.0132283	1.20661	0.000620509	1.33526	5.22179e-005	1.42839	0.210058	1.11837	
API5	0.816774	1.02547	0.0098427	1.38387	0.700367	1.04412	0.000937085	-1.5412	0.211648	-1.16233	0.0119161	-1.43961	
ANKRD62	0.675713	1.0255	0.151749	-1.10079	0.724716	-1.02212	4.96057e-010	-1.80013	2.66853e-008	-1.62617	9.62152e-009	-1.80515	
DHDH	0.780837	1.02558	0.389157	-1.08992	0.928469	-1.00845	0.480573	-1.07292	0.280184	1.11446	0.106289	1.20861	
PTRF	0.788014	1.02559	3.49434e-007	1.94038	5.84896e-008	1.98986	0.0696568	1.21157	0.933998	1.00856	0.000324427	-1.61306	
POC1B	0.906633	1.02562	0.000679466	2.42961	0.314165	1.25373	0.329181	-1.26161	0.431789	-1.20526	0.0056538	-2.23995	
PLSCR2	0.675457	1.02571	0.000119717	1.33716	0.27595	1.07122	0.289171	1.07354	0.414025	1.05598	3.19415e-006	-1.54213	
MIR4536-1	0.742045	1.02576	0.264036	-1.10017	0.815077	-1.01883	0.00718941	-1.27372	0.205888	-1.11454	0.113905	-1.17082	
ZDHHC23	0.927063	1.02587	0.00977681	2.308	0.338353	1.32056	0.942199	-1.02241	0.204095	-1.48219	0.325993	-1.41836	
NDUFA6	0.84272	1.02588	4.7014e-006	2.17851	0.0343495	1.33957	0.503191	-1.09942	0.01443	-1.43797	2.91064e-006	-2.52596	
KDM5D	0.940429	1.02595	0.38574	1.38788	0.352399	1.39325	0.0371943	2.25237	0.793962	1.1031	0.535751	1.30914	
ZNF180	0.54646	1.02605	2.80835e-005	1.25586	0.587099	-1.02419	3.59908e-005	1.25077	0.000717672	1.19009	0.871963	1.0087	
ADRB2	0.77748	1.02617	0.0018799	1.40261	0.260825	1.11321	0.0721375	1.20323	0.0666916	-1.20789	1.87469e-008	-2.38422	
TMOD3	0.850287	1.02629	0.000297439	1.84206	0.0135313	1.44695	0.507008	1.10549	0.723177	-1.05485	0.0292801	-1.484	
SMEK1	0.894961	1.02637	0.0956592	1.44542	0.704307	1.08043	0.496142	1.15897	0.144743	-1.37801	0.00457686	-2.13357	
KREMEN1	0.904706	1.02653	0.00955266	1.93058	0.706467	1.0889	0.00372097	2.11155	0.62091	-1.12606	0.0116768	-2.08925	
NF2	0.79085	1.02658	8.404e-005	1.62912	0.102041	1.18623	0.00153525	-1.45398	2.57588e-005	-1.70428	7.49923e-007	-2.16329	
CCDC99	0.768959	1.02659	1.92836e-006	1.7696	0.103247	1.16612	0.277899	1.11315	6.57044e-008	1.99325	8.40206e-005	1.66364	
LMLN	0.814145	1.02691	0.0496842	1.28509	4.84828e-007	2.09101	0.589136	1.06925	0.337843	1.12688	0.0995847	1.27208	
VWDE	0.917196	1.02696	0.0154532	2.04145	0.0251193	1.85465	0.653191	1.13444	0.64384	1.1386	0.712896	1.1266	
MFAP3L	0.857055	1.0274	0.00231488	1.72058	0.104186	1.2937	0.0187724	-1.49927	0.000345839	-1.93061	3.90323e-008	-3.95454	
CRABP1	0.892123	1.02773	0.704513	-1.08748	0.622543	-1.10818	0.00547343	-1.92668	0.525683	1.15102	0.299297	1.30624	
ARNT	0.773955	1.02782	0.398159	-1.09298	0.782541	1.02761	0.0296383	1.26729	0.0995495	1.19279	0.650346	1.05637	
TECTB	0.850828	1.02793	0.0973292	1.31287	0.0703475	1.32499	0.281054	-1.19078	0.90542	-1.01924	0.511763	1.1297	
TWIST2	0.849047	1.02811	0.062688	1.35776	0.099045	1.28903	0.31645	-1.17488	0.867401	-1.027	0.75043	-1.06039	
C17orf112	0.734671	1.02818	0.32442	-1.09325	0.624308	-1.04239	0.273751	-1.1043	0.410289	-1.07714	0.359446	-1.10036	
STARD13-IT1	0.855135	1.02823	0.593285	-1.09351	0.485904	-1.11644	0.59249	1.09372	0.155523	-1.27283	0.678754	1.08325	
OR11H1	0.85482	1.02846	0.0236667	1.48745	0.393325	1.1457	0.740086	1.05736	0.0392449	1.43203	0.0285459	1.55658	
ZBTB49	0.634025	1.0285	4.88308e-005	1.35428	0.399371	1.05295	0.081148	-1.12247	0.767746	-1.01926	0.00554916	-1.24719	
CCDC149	0.750751	1.02854	5.89931e-005	1.56686	0.000252755	1.4567	0.008083	-1.31363	0.000421218	-1.464	3.74279e-006	-1.87214	
WTAP	0.802715	1.02855	0.00115515	1.55186	0.184191	1.16974	0.116918	1.21835	0.000346956	1.63822	0.679035	1.0608	
LMNA	0.476803	1.02864	7.92972e-009	1.40429	1.80619e-007	1.31355	0.00680316	1.13291	4.43493e-008	1.36553	3.44491e-011	1.65161	
CT47A7	0.773391	1.02868	0.411007	-1.09296	0.499246	1.07117	0.305633	1.11753	0.113132	1.19005	0.0813666	1.2486	
IQCE	0.661597	1.02872	0.00065272	1.3059	0.00638905	1.21405	2.0871e-005	1.42412	5.38122e-006	1.47291	1.67929e-006	1.61725	
FAM26E	0.865407	1.0288	0.0116225	1.63073	0.452022	1.13964	0.173604	1.28867	0.670283	1.08138	0.291783	1.25289	
STT3A	0.824031	1.02884	3.59781e-005	1.95973	0.392468	1.12028	0.0426228	1.34176	0.000101358	1.86202	0.177171	1.24802	
TUSC1	0.776216	1.02894	0.0505503	1.24847	0.249289	1.12825	0.476619	-1.08169	0.614789	-1.05696	0.0222305	-1.35434	
SLC26A6	0.735444	1.02897	0.318245	-1.09759	0.789386	-1.02358	0.129592	1.15371	0.0029959	1.34493	4.52626e-005	1.65653	
IL17F	0.700982	1.02974	0.263007	-1.09906	0.810717	-1.01904	0.64289	-1.03955	0.316985	1.08792	0.293737	1.10759	
LANCL3	0.936409	1.02979	0.0094673	3.02834	0.843692	1.07782	0.776796	1.12111	0.229582	-1.63252	0.0103236	-3.53591	
OR10G2	0.715955	1.02997	0.00384801	1.31772	0.20324	1.11405	0.114367	1.15398	0.0377823	1.21094	0.0704703	1.21014	
USF2	0.56003	1.03053	0.137355	-1.08907	0.106494	-1.09165	0.744604	-1.01855	0.00490026	-1.18505	0.000114682	-1.33127	
TMEM165	0.828833	1.03074	0.0441124	1.37653	0.580411	1.08342	0.00223969	-1.66236	0.000194485	-1.90678	0.00170998	-1.83104	
GNG5	0.765778	1.03075	0.0101711	1.35358	0.324524	1.10986	7.4674e-010	2.65268	3.94304e-009	2.46653	2.43717e-008	2.59491	
LINC00572	0.782649	1.03082	0.0944816	1.2291	0.806276	1.02826	0.24367	1.15265	0.0112326	1.38094	6.08141e-005	1.90168	
CENPM	0.776579	1.03095	0.00753112	1.39673	0.442191	1.08938	0.134568	1.19638	0.00393365	1.43946	0.000784956	1.6536	
FAM122A	0.847858	1.03097	7.50499e-005	2.2067	0.0324312	1.44064	0.414234	1.15366	0.354717	-1.17619	0.00208748	-1.95729	
LRRC23	0.629187	1.03111	0.00390876	1.23998	0.000179963	1.31926	0.184591	1.09792	0.0159758	1.19206	0.528256	1.05199	
GINS2	0.86025	1.03121	0.131616	1.34166	0.479221	1.13665	0.00777704	1.7176	0.00026628	2.18856	1.22207e-005	3.14166	
TMEM128	0.770528	1.03159	0.027469	1.30769	0.466273	1.08386	0.497911	1.08265	0.327462	-1.12212	0.137997	-1.2259	
GINS4	0.803745	1.03168	0.00846063	1.46822	0.721436	-1.04732	0.019095	1.40152	4.89322e-006	2.13106	0.000714609	1.80984	
LPGAT1	0.795925	1.03174	0.0609837	1.29095	0.000287888	1.66097	1.88621e-008	-2.70255	6.18988e-008	-2.54914	2.25743e-005	-2.1363	
SLC25A46	0.827846	1.03174	0.0146532	1.49815	0.102312	1.28138	0.00209451	-1.69129	0.00094067	-1.77265	1.72068e-006	-2.90825	
LOC145757	0.700625	1.03174	0.321766	-1.0929	0.449511	-1.06578	0.0789792	-1.17393	0.971279	1.00321	0.331129	1.10581	
SMYD2	0.927807	1.03181	0.00369561	3.26103	0.169569	1.64569	0.0274642	-2.38725	0.0191684	-2.53298	0.00313765	-4.02489	
DHX8	0.755936	1.03244	0.0207344	1.31285	0.107686	1.19041	0.399886	1.09989	0.0551926	1.24909	0.823639	1.02937	
IGHV3-49	0.867756	1.03263	0.651824	-1.10017	0.949948	-1.01258	0.00265758	1.98628	0.0500826	1.53358	5.56403e-006	3.78851	
